"CustomerID","customername","SpendingScore","AnnualIncomek","gender","age","customertype","productid","productname","Category","SubCategory","Sales","Quantity","Stockid","Invoiceid","Description","InvoiceDate","Price","Country","name","rating","location","noofemployees"
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22941","CHRISTMASLIGHTS10REINDEER",12120101003,85,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"21622","VINTAGEUNIONJACKCUSHIONCOVER",12120101003,495,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"21791","VINTAGEHEADSANDTAILSCARDGAME",12120101003,125,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"35004C","SETOF3COLOUREDFLYINGDUCKS",12120101003,545,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"35004G","SETOF3GOLDFLYINGDUCKS",12120101003,635,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"85014B","REDRETROSPOTUMBRELLA",12120101003,595,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"85014A","BLACKBLUEPOLKADOTUMBRELLA",12120101003,595,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22193","REDDINERWALLCLOCK",12120101003,85,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22726","ALARMCLOCKBAKELIKEGREEN",12120101003,375,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22727","ALARMCLOCKBAKELIKERED",12120101003,375,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22192","BLUEDINERWALLCLOCK",12120101003,85,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22191","IVORYDINERWALLCLOCK",12120101003,85,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22195","LARGEHEARTMEASURINGSPOONS",12120101003,165,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12431,"ROSE",88,5000,"Female",30,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536381,"22196","SMALLHEARTMEASURINGSPOONS",12120101003,85,"Australia","FlemingtonDepartmentStore",3,"Australia",8000
12583,"RUBIAN",32,1200,"Female",22,"citizen",1,"BushSomersetCollectionBookcase","Furniture","Bookcases",26196,456,536370,"22728","ALARMCLOCKBAKELIKEPINK",1212010845,375,"France","SaksFifthAvenue",4,"France",4000
